Designator,Mid X,Mid Y,Rotation,Layer
C1,356.25,-38.25,0.0,top
C10,228.25,-43.25,0.0,top
C11,196.25,-38.25,0.0,top
C12,196.25,-43.25,0.0,top
C13,164.25,-38.25,0.0,top
C14,164.25,-43.25,0.0,top
C15,132.25,-38.25,0.0,top
C16,132.25,-43.25,0.0,top
C17,100.25,-38.25,0.0,top
C18,100.25,-43.25,0.0,top
C19,68.25,-38.25,0.0,top
C2,356.25,-43.25,0.0,top
C20,68.25,-43.25,0.0,top
C21,36.25,-38.25,0.0,top
C22,36.25,-43.25,0.0,top
C23,4.25,-38.25,0.0,top
C24,4.25,-43.25,0.0,top
C3,324.25,-38.25,0.0,top
C4,324.25,-43.25,0.0,top
C5,292.25,-38.25,0.0,top
C6,292.25,-43.25,0.0,top
C7,260.25,-38.25,0.0,top
C8,260.25,-43.25,0.0,top
C9,228.25,-38.25,0.0,top
DS1,343.15,-51.7875,90.0,bottom
DS10,55.15,-51.7875,90.0,bottom
DS11,23.15,-51.7875,90.0,bottom
DS12,-8.5,-51.7875,90.0,bottom
DS2,311.15,-51.7875,90.0,bottom
DS3,279.15,-51.7875,90.0,bottom
DS4,247.15,-51.7875,90.0,bottom
DS5,215.15,-51.7875,90.0,bottom
DS6,183.15,-51.7875,90.0,bottom
DS7,151.15,-51.7875,90.0,bottom
DS8,119.15,-51.7875,90.0,bottom
DS9,87.15,-51.7875,90.0,bottom
J1,352.48,-65.2,270.0,top
R1,343.15,-39.05,0.0,top
R10,55.15,-39.05,0.0,top
R11,23.15,-39.05,0.0,top
R12,-8.5,-39.05,0.0,top
R2,311.15,-39.05,0.0,top
R3,279.15,-39.05,0.0,top
R4,247.15,-39.05,0.0,top
R5,215.15,-39.05,0.0,top
R6,183.15,-39.05,0.0,top
R7,151.15,-39.05,0.0,top
R8,119.15,-39.05,0.0,top
R9,87.15,-39.05,0.0,top
U1,343.15,-52.005,270.0,top
U10,55.15,-52.005,270.0,top
U11,23.15,-52.005,270.0,top
U12,-8.5,-52.005,270.0,top
U2,311.15,-52.005,270.0,top
U3,279.15,-52.005,270.0,top
U4,247.15,-52.005,270.0,top
U5,215.15,-52.005,270.0,top
U6,183.15,-52.005,270.0,top
U7,151.15,-52.005,270.0,top
U8,119.15,-52.005,270.0,top
U9,87.15,-52.005,270.0,top
